164
,org.junit.runner.Result,org.junit.runner.notification.RunListener,org.junit.runner.notification.Failure,org.junit.runner.Description,junit.framework.Assert,junit.framework.ComparisonFailure,junit.framework.AssertionFailedError,org.junit.internal.builders.SuiteMethodBuilder,org.junit.runners.model.RunnerBuilder,org.junit.internal.runners.SuiteMethod,org.junit.runner.Runner,org.junit.AfterClass,org.junit.experimental.theories.internal.Assignments,org.junit.experimental.theories.PotentialAssignment,org.junit.experimental.theories.ParameterSupplier,org.junit.runners.model.TestClass,org.junit.experimental.theories.ParametersSuppliedBy,org.junit.experimental.theories.internal.AllMembersSupplier,org.junit.experimental.theories.ParameterSignature,org.junit.experimental.categories.Categories,org.junit.experimental.categories.Category,org.junit.runner.manipulation.Filter,org.junit.runner.manipulation.NoTestsRemainException,org.junit.runners.model.InitializationError,org.junit.runners.Suite,org.junit.internal.runners.JUnit38ClassRunner,org.junit.runner.Describable,junit.extensions.TestDecorator,junit.framework.TestListener,junit.framework.TestCase,org.junit.runner.notification.RunNotifier,junit.framework.TestResult,junit.framework.TestSuite,org.junit.runner.manipulation.Sorter,org.junit.runner.manipulation.Sortable,org.junit.runner.manipulation.Filterable,junit.framework.Test,org.junit.runner.manipulation.package-info,org.junit.internal.runners.statements.RunBefores,org.junit.runners.model.Statement,org.junit.runners.model.FrameworkMethod,org.junit.ComparisonFailure,org.junit.Assert,org.junit.internal.AssumptionViolatedException,org.junit.experimental.ParallelComputer,org.junit.runner.Computer,org.junit.runners.ParentRunner,org.junit.runners.model.RunnerScheduler,org.junit.rules.TestName,org.junit.rules.TestWatcher,junit.extensions.RepeatedTest,org.junit.matchers.JUnitMatchers,org.junit.internal.matchers.CombinableMatcher,org.junit.internal.matchers.Each,org.junit.internal.matchers.StringContains,org.junit.internal.matchers.IsCollectionContaining,org.junit.experimental.theories.Theory,org.junit.experimental.max.MaxHistory,org.junit.experimental.max.CouldNotReadCoreException,org.junit.runners.model.FrameworkField,org.junit.runners.model.FrameworkMember,org.junit.runners.Parameterized,org.junit.runners.BlockJUnit4ClassRunner,org.junit.internal.builders.IgnoredClassRunner,org.junit.internal.requests.package-info,org.junit.internal.builders.AllDefaultPossibilitiesBuilder,org.junit.internal.runners.statements.Fail,org.junit.internal.matchers.TypeSafeMatcher,org.junit.internal.runners.InitializationError,junit.framework.TestFailure,org.junit.rules.ErrorCollector,org.junit.runners.model.MultipleFailureException,org.junit.rules.Verifier,org.junit.internal.builders.AnnotatedBuilder,org.junit.runner.RunWith,org.junit.internal.runners.model.MultipleFailureException,org.junit.rules.TestRule,junit.framework.JUnit4TestCaseFacade,org.junit.internal.runners.statements.RunAfters,org.junit.experimental.theories.DataPoints,org.junit.experimental.theories.Theories,org.junit.experimental.theories.DataPoint,org.junit.experimental.theories.internal.ParameterizedAssertionError,org.junit.runner.JUnitCore,org.junit.internal.TextListener,org.junit.runner.Request,org.junit.internal.JUnitSystem,junit.runner.Version,org.junit.internal.RealSystem,org.junit.Assume,org.junit.internal.runners.ClassRoadie,org.junit.internal.runners.FailedBefore,org.junit.internal.runners.TestClass,org.junit.rules.RuleChain,org.junit.runners.AllTests,org.junit.Ignore,org.junit.internal.InexactComparisonCriteria,org.junit.internal.ArrayComparisonFailure,org.junit.internal.ExactComparisonCriteria,org.junit.rules.RunRules,org.junit.internal.runners.model.EachTestNotifier,org.junit.internal.runners.rules.RuleFieldValidator,org.junit.ClassRule,org.junit.BeforeClass,org.junit.runner.notification.StoppedByUserException,org.junit.internal.matchers.SubstringMatcher,org.junit.matchers.package-info,org.junit.internal.runners.statements.ExpectException,org.junit.runners.package-info,junit.framework.package-info,org.junit.internal.ComparisonCriteria,org.junit.rules.MethodRule,org.junit.Rule,org.junit.internal.runners.rules.RuleFieldValidator[],org.junit.internal.requests.FilterRequest,org.junit.internal.runners.ErrorReportingRunner,org.junit.rules.ExpectedException,org.junit.Test,org.junit.internal.runners.JUnit4ClassRunner,org.junit.internal.runners.TestMethod,org.junit.internal.runners.MethodValidator,org.junit.internal.runners.MethodRoadie,org.junit.internal.requests.SortingRequest,org.junit.experimental.theories.suppliers.TestedOn,org.junit.experimental.results.ResultMatchers,org.junit.experimental.results.PrintableResult,org.junit.experimental.theories.suppliers.TestedOnSupplier,org.junit.internal.builders.IgnoredBuilder,org.junit.internal.runners.package-info,org.junit.internal.requests.ClassRequest,org.junit.internal.builders.NullBuilder,org.junit.Before,org.junit.experimental.results.FailureList,org.junit.internal.runners.model.ReflectiveCallable,org.junit.internal.builders.JUnit4Builder,junit.textui.TestRunner,junit.textui.ResultPrinter,junit.runner.BaseTestRunner,org.junit.rules.Timeout,org.junit.internal.runners.statements.FailOnTimeout,junit.runner.package-info,org.junit.internal.builders.JUnit3Builder,org.junit.internal.runners.statements.InvokeMethod,org.junit.After,org.junit.rules.ExternalResource,org.junit.runners.model.NoGenericTypeParametersValidator,junit.extensions.ActiveTestSuite,org.junit.runners.JUnit4,junit.textui.package-info,junit.framework.ComparisonCompactor,junit.runner.TestRunListener,junit.framework.Protectable,junit.framework.JUnit4TestAdapterCache,junit.framework.JUnit4TestAdapter,junit.extensions.package-info,org.junit.runner.notification.package-info,org.junit.experimental.max.MaxCore,junit.extensions.TestSetup,org.junit.rules.TestWatchman,org.junit.runner.package-info,org.junit.package-info,org.junit.rules.TemporaryFolder,org.junit.experimental.runners.Enclosed
org.junit.runner.Result,0.0,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,3.0,3.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,2.0,2.0,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,3.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,2.0,2.0,2.0,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,1.0,1.0,2.0,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,2.0,Infinity,Infinity,2.0,Infinity,Infinity,2.0,3.0,Infinity,2.0,1.0,Infinity,3.0,Infinity,3.0,3.0,Infinity,1.0,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,2.0,2.0,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0
org.junit.runner.notification.RunListener,1.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,3.0,3.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,2.0,2.0,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,3.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,2.0,2.0,2.0,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,1.0,1.0,2.0,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,2.0,Infinity,Infinity,2.0,Infinity,Infinity,2.0,3.0,Infinity,3.0,2.0,Infinity,3.0,Infinity,3.0,3.0,Infinity,1.0,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,1.0,2.0,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0
org.junit.runner.notification.Failure,1.0,1.0,0.0,Infinity,Infinity,Infinity,Infinity,3.0,2.0,2.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,2.0,1.0,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,3.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,2.0,2.0,2.0,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,1.0,1.0,2.0,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,1.0,Infinity,Infinity,1.0,Infinity,Infinity,1.0,3.0,Infinity,3.0,2.0,Infinity,3.0,Infinity,3.0,3.0,Infinity,1.0,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,1.0,2.0,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0
org.junit.runner.Description,1.0,1.0,1.0,0.0,Infinity,Infinity,Infinity,2.0,2.0,2.0,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,1.0,Infinity,Infinity,1.0,1.0,1.0,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,1.0,2.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,2.0,1.0,Infinity,1.0,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,2.0,1.0,1.0,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,1.0,2.0,Infinity,Infinity,1.0,1.0,Infinity,Infinity,2.0,Infinity,Infinity,1.0,1.0,1.0,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,1.0,3.0,Infinity,Infinity,Infinity,Infinity,1.0,1.0,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,1.0,1.0,Infinity,1.0,Infinity,Infinity,1.0,2.0,Infinity,3.0,2.0,Infinity,2.0,Infinity,2.0,2.0,Infinity,2.0,Infinity,2.0,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,2.0,Infinity,Infinity,1.0,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,1.0,1.0,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,2.0,2.0
junit.framework.Assert,Infinity,Infinity,Infinity,Infinity,0.0,2.0,Infinity,4.0,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,4.0,2.0,Infinity,1.0,4.0,1.0,Infinity,2.0,2.0,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,6.0,5.0,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5.0,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5.0,Infinity,5.0,4.0,Infinity,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,3.0,3.0,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,1.0,Infinity,Infinity,3.0,3.0,Infinity,Infinity,3.0,2.0,Infinity,Infinity,Infinity,Infinity,5.0
junit.framework.ComparisonFailure,Infinity,Infinity,Infinity,Infinity,1.0,0.0,Infinity,5.0,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,6.0,Infinity,Infinity,Infinity,Infinity,5.0,3.0,Infinity,2.0,5.0,2.0,Infinity,3.0,3.0,Infinity,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,7.0,6.0,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,6.0,Infinity,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,6.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,6.0,Infinity,6.0,5.0,Infinity,Infinity,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,4.0,4.0,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,4.0,Infinity,Infinity,2.0,Infinity,Infinity,4.0,4.0,Infinity,Infinity,4.0,3.0,Infinity,Infinity,Infinity,Infinity,6.0
junit.framework.AssertionFailedError,Infinity,Infinity,Infinity,Infinity,1.0,1.0,0.0,3.0,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5.0,Infinity,Infinity,Infinity,Infinity,4.0,1.0,Infinity,2.0,1.0,2.0,Infinity,1.0,2.0,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,6.0,5.0,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5.0,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,Infinity,4.0,3.0,Infinity,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,1.0,1.0,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,2.0,Infinity,Infinity,2.0,2.0,Infinity,Infinity,2.0,2.0,Infinity,Infinity,Infinity,Infinity,5.0
org.junit.internal.builders.SuiteMethodBuilder,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,4.0,3.0,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,3.0,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,3.0
org.junit.runners.model.RunnerBuilder,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,2.0,Infinity,3.0,2.0,Infinity,1.0,Infinity,2.0,1.0,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,3.0,2.0,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,1.0
org.junit.internal.runners.SuiteMethod,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5.0,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,2.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,1.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,4.0,Infinity,5.0,4.0,Infinity,Infinity,Infinity,3.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,5.0,4.0,Infinity,Infinity,4.0,Infinity,Infinity,Infinity,Infinity,Infinity,4.0
